# ObjectID,StreamID,Long,Lat,Elevation
2.800000000000000000e+01,8.000000000000000000e+00,-7.909688345993947678e+01,3.792536691807259785e+01,7.650000000000000000e+02
2.900000000000000000e+01,8.000000000000000000e+00,-7.909669827475346437e+01,3.792518173288664229e+01,7.750000000000000000e+02
3.000000000000000000e+01,8.000000000000000000e+00,-7.909668334933093092e+01,3.792509218035183949e+01,7.780000000000000000e+02
3.100000000000000000e+01,9.000000000000000000e+00,-7.909918405110209960e+01,3.792450206965662574e+01,7.680000000000000000e+02
3.200000000000000000e+01,9.000000000000000000e+00,-7.909906503629611052e+01,3.792434905062020789e+01,7.790000000000000000e+02
1.010000000000000000e+02,2.800000000000000000e+01,-7.907522362622745504e+01,3.790045861026874263e+01,6.940000000000000000e+02
1.020000000000000000e+02,2.800000000000000000e+01,-7.907549457095649359e+01,3.790008914018363839e+01,6.900000000000000000e+02
1.360000000000000000e+02,3.400000000000000000e+01,-7.908132790431545800e+01,3.789731136239362286e+01,7.790000000000000000e+02
1.370000000000000000e+02,3.400000000000000000e+01,-7.908123531172248022e+01,3.789721876980064508e+01,7.760000000000000000e+02
1.380000000000000000e+02,3.400000000000000000e+01,-7.907984642282747245e+01,3.789721876980064508e+01,7.270000000000000000e+02
1.400000000000000000e+02,3.400000000000000000e+01,-7.907882790430448949e+01,3.789684839942856343e+01,6.910000000000000000e+02
1.730000000000000000e+02,3.900000000000000000e+01,-7.908503160803547871e+01,3.789388543645264917e+01,7.530000000000000000e+02
1.750000000000000000e+02,3.900000000000000000e+01,-7.908503160803547871e+01,3.789360765867354530e+01,7.420000000000000000e+02
1.760000000000000000e+02,4.200000000000000000e+01,-7.908503160803547871e+01,3.789360765867354530e+01,7.420000000000000000e+02
1.770000000000000000e+02,4.000000000000000000e+01,-7.908503160803547871e+01,3.789360765867354530e+01,7.420000000000000000e+02
1.810000000000000000e+02,4.100000000000000000e+01,-7.908567975618649371e+01,3.789314469570848587e+01,7.310000000000000000e+02
1.820000000000000000e+02,4.200000000000000000e+01,-7.908503160803547871e+01,3.789305210311550809e+01,7.190000000000000000e+02
1.830000000000000000e+02,4.200000000000000000e+01,-7.908484642284946631e+01,3.789286691792960937e+01,7.160000000000000000e+02
1.840000000000000000e+02,4.200000000000000000e+01,-7.908503160803547871e+01,3.789258914015067603e+01,7.070000000000000000e+02
1.850000000000000000e+02,4.100000000000000000e+01,-7.908503160803547871e+01,3.789240395496454994e+01,7.030000000000000000e+02
1.860000000000000000e+02,4.200000000000000000e+01,-7.908503160803547871e+01,3.789240395496454994e+01,7.030000000000000000e+02
1.870000000000000000e+02,4.500000000000000000e+01,-7.908503160803547871e+01,3.789240395496454994e+01,7.030000000000000000e+02
1.910000000000000000e+02,4.600000000000000000e+01,-7.908720753397091130e+01,3.789115395495917937e+01,7.380000000000000000e+02
1.940000000000000000e+02,4.600000000000000000e+01,-7.908706864508138779e+01,3.789101506606965586e+01,7.330000000000000000e+02
1.960000000000000000e+02,4.600000000000000000e+01,-7.908632790433745186e+01,3.789073728829055199e+01,7.050000000000000000e+02
1.970000000000000000e+02,4.600000000000000000e+01,-7.908620361104630092e+01,3.789061299499951474e+01,7.040000000000000000e+02
1.980000000000000000e+02,4.700000000000000000e+01,-7.905915197829193630e+01,3.790022802907316191e+01,7.210000000000000000e+02
2.020000000000000000e+02,5.000000000000000000e+01,-7.906030938570449962e+01,3.789902432536416654e+01,7.170000000000000000e+02
2.030000000000000000e+02,4.900000000000000000e+01,-7.906234642275040869e+01,3.789897802906762081e+01,7.530000000000000000e+02
2.060000000000000000e+02,4.900000000000000000e+01,-7.906160568200647276e+01,3.789879284388166525e+01,7.290000000000000000e+02
2.110000000000000000e+02,4.900000000000000000e+01,-7.906105012644843555e+01,3.789842247350958360e+01,7.050000000000000000e+02
2.120000000000000000e+02,4.900000000000000000e+01,-7.906077234866944536e+01,3.789842247350958360e+01,6.950000000000000000e+02
2.200000000000000000e+02,5.300000000000000000e+01,-7.906174457089593943e+01,3.789731136239362286e+01,7.180000000000000000e+02
2.250000000000000000e+02,5.500000000000000000e+01,-7.906896679314985477e+01,3.789689469572516600e+01,7.750000000000000000e+02
2.260000000000000000e+02,5.400000000000000000e+01,-7.907054347577570752e+01,3.789656018747029975e+01,7.430000000000000000e+02
2.270000000000000000e+02,5.600000000000000000e+01,-7.906725383017942477e+01,3.789615395498100270e+01,7.360000000000000000e+02
2.280000000000000000e+02,5.400000000000000000e+01,-7.907067975612045529e+01,3.789601506609164971e+01,7.230000000000000000e+02
2.290000000000000000e+02,5.500000000000000000e+01,-7.907003160796944030e+01,3.789573728831254584e+01,7.270000000000000000e+02
